generation,best_generation_fitness,best_so_far_fitness,best_score,best_survival_time,best_steps,mutation_mode,provider
1,206.475,206.475,462.0,14.25,144.0,llm,heuristic
2,212.07,212.07,473.0,15.9,146.0,llm,heuristic
3,224.935,224.935,503.0,15.45,156.0,llm,heuristic
4,238.87,238.87,532.0,16.900000000000002,161.0,llm,heuristic
5,246.14499999999998,246.14499999999998,559.0,18.15,194.0,llm,heuristic
6,257.97999999999996,257.97999999999996,578.0,18.6,183.0,llm,heuristic
7,245.325,257.97999999999996,564.0,17.75,210.0,llm,heuristic
8,254.29000000000002,257.97999999999996,584.0,18.3,216.0,llm,heuristic
9,261.91499999999996,261.91499999999996,606.0,19.05,234.0,llm,heuristic
10,283.72,283.72,654.0,20.400000000000002,247.0,llm,heuristic
